Year,month,day,time,Temp,rH,VPD
2011,12,2,1300,-5.8,94,0.023748675
2011,12,2,1400,-5.8,93.4,0.026123543
2011,12,2,1500,-5.9,94,0.023567158
2011,12,2,1600,-5.4,90,0.040811983
2011,12,2,1700,-5.5,92,0.032400906
2011,12,2,1800,-5.8,94,0.023748675
2011,12,2,1900,-4.5,79.8,0.088286377
2011,12,2,2000,-3.1,60,0.19427933
2011,12,2,2100,-3.4,72,0.132969475
2011,12,2,2200,-2.2,54,0.238941083
2011,12,2,2300,-1.6,50.4,0.269360262
2011,12,3,0,-1.8,51.5,0.259516548
2011,12,3,100,-1.6,54,0.249809921
2011,12,3,200,-2.4,66,0.174000328
2011,12,3,300,-1.4,53.2,0.257937917
2011,12,3,400,-1.1,53,0.26483341
2011,12,3,500,-1.3,51,0.27206334
2011,12,3,600,-0.3,40,0.358525926
2011,12,3,700,-1.8,71.2,0.154104672
2011,12,3,800,-2.7,72,0.140124952
2011,12,3,900,-2.9,74,0.128186117
2011,12,3,1000,-2.8,70,0.149016789
2011,12,3,1100,-3.1,74,0.126281564
2011,12,3,1200,-3,67.3,0.160017059
2011,12,3,1300,-3.1,71,0.140852514
2011,12,3,1400,-3.1,68,0.155423464
2011,12,3,1500,-3.6,79,0.098239007
2011,12,3,1600,-3.6,80,0.093560959
2011,12,3,1700,-3.1,79.6,0.099082458
2011,12,3,1800,-3.3,79,0.100478606
2011,12,3,1900,-2.8,72,0.139082337
2011,12,3,2000,-3.2,83.9,0.077613584
2011,12,3,2100,-2.4,82,0.092117821
2011,12,3,2200,-2.2,67.1,0.170894818
2011,12,3,2300,-1.8,63.3,0.196376439
2011,12,4,0,-2.4,71,0.148412045
2011,12,4,100,-1.9,71,0.154029142
2011,12,4,200,-1.3,63.5,0.202659427
2011,12,4,300,-1.6,66.4,0.182469855
2011,12,4,400,-1.5,67,0.180541028
2011,12,4,500,-0.2,63,0.222713007
2011,12,4,600,-1.3,66.7,0.184892025
2011,12,4,700,-1.3,62,0.210987896
2011,12,4,800,-1.2,60,0.223735962
2011,12,4,900,-1.4,65,0.192902289
2011,12,4,1000,-2.4,76,0.122823761
2011,12,4,1100,-3.3,78.3,0.103827892
2011,12,4,1200,-3.2,77,0.110876549
2011,12,4,1300,-4.3,79,0.093184165
2011,12,4,1400,-4.4,74,0.114500492
2011,12,4,1500,-1.4,45,0.303132168
2011,12,4,1600,-2.8,57.5,0.211107118
2011,12,4,1700,-2.8,58,0.208623505
2011,12,4,1800,-3.6,65,0.163731679
2011,12,4,1900,-2.6,58,0.21176171
2011,12,4,2000,-0.9,53.5,0.265899708
2011,12,4,2100,-1.6,53.2,0.254154441
2011,12,4,2200,-1.9,60,0.212453989
2011,12,4,2300,-1.3,56,0.244301775
2011,12,5,0,-2,60,0.210884033
2011,12,5,100,-0.2,55.8,0.266051754
2011,12,5,200,-0.9,62.8,0.212719767
2011,12,5,300,-0.2,62,0.228732277
2011,12,5,400,-0.6,58,0.245515362
2011,12,5,500,-0.1,60,0.242535703
2011,12,5,600,-1,66.4,0.190726289
2011,12,5,700,-0.6,55.1,0.262467613
2011,12,5,800,-1.2,66,0.190175567
2011,12,5,900,-1,65,0.198673218
2011,12,5,1000,-2.4,71,0.148412045
2011,12,5,1100,-3.6,70,0.140341439
2011,12,5,1200,-3.3,60,0.19138782
2011,12,5,1300,-4.5,69,0.135488994
2011,12,5,1400,-4.7,62,0.163581411
2011,12,5,1500,-5.8,65,0.138533939
2011,12,5,1600,-5.6,68,0.128615619
2011,12,5,1700,-5.9,71.5,0.111944001
2011,12,5,1800,-5.3,74,0.106924855
2011,12,5,1900,-3.9,68.9,0.142236127
2011,12,5,2000,-3.7,72,0.130003136
2011,12,5,2100,-2.9,72,0.138046587
2011,12,5,2200,-1.6,67.5,0.176496139
2011,12,5,2300,-0.4,55.9,0.261595728
2011,12,6,0, , ,#VALUE!
2011,12,6,100,-3, ,#VALUE!
2011,12,6,200,-2,69,0.163435126
2011,12,6,300,-2,69,0.163435126
2011,12,6,400,-0.7,73.5,0.153776449
2011,12,6,500,-1.2,72.4,0.154377814
2011,12,6,600,-1.6,73,0.146627562
2011,12,6,700,-2.3,74,0.134053085
2011,12,6,800,-2.3,78,0.113429534
2011,12,6,900,-3.2,80.1,0.095932319
2011,12,6,1000,-3.6,81.2,0.087947302
2011,12,6,1100,-4.5,82,0.078671029
2011,12,6,1200,-4.8,80,0.085443701
2011,12,6,1300,-4.9,78,0.093275925
2011,12,6,1400,-4.5,79.5,0.08959756
2011,12,6,1500,-5.1,83.9,0.067229171
2011,12,6,1600,-4.8,83,0.072627146
2011,12,6,1700,-4.9,81,0.080556481
2011,12,6,1800,-4.8,81,0.081171516
2011,12,6,1900,-4.9,82.7,0.073348795
2011,12,6,2000,-4.5,79.2,0.090908744
2011,12,6,2100,-4.2,78,0.098362931
2011,12,6,2200,-3.4,75.7,0.115398508
2011,12,6,2300,-3.4,77,0.109224926
2011,12,7,0,-3,70,0.146804641
2011,12,7,100,-2.4,65.1,0.178606219
2011,12,7,200,-2,66,0.179251428
2011,12,7,300,-2.1,67,0.172692581
2011,12,7,400,-1.8,65,0.187279983
2011,12,7,500,-1,61.9,0.216269989
2011,12,7,600,-1.1,62,0.214120629
2011,12,7,700,-2.1,75,0.130827713
2011,12,7,800,-2.2,72.6,0.142325775
2011,12,7,900,-2.7,82,0.090080326
2011,12,7,1000,-3,77.6,0.109614132
2011,12,7,1100,-3,81,0.092976273
2011,12,7,1200,-4.1,73,0.121634184
2011,12,7,1300,-4,70.5,0.133904184
2011,12,7,1400,-5.2,76,0.099456069
2011,12,7,1500,-6.2,80.8,0.073695868
2011,12,7,1600,-6.4,74,0.098270817
2011,12,7,1700,-6.6,69,0.115374667
2011,12,7,1800,-5.6,58.7,0.165994533
2011,12,7,1900,-4.5,57,0.187936346
2011,12,7,2000,-1.4,50.4,0.2733701
2011,12,7,2100,-1.7,51,0.26414053
2011,12,7,2200,-2.2,54.1,0.238421646
2011,12,7,2300,-2,52,0.25306084
2011,12,8,0,-2.4,60.9,0.200100378
2011,12,8,100,-2.1,73,0.14129393
2011,12,8,200,-0.8,63,0.213136349
2011,12,8,300,-1.1,,0.563475341
2011,12,8,400,-0.8,62.1,0.218320747
2011,12,8,500,-1.2,66,0.190175567
2011,12,8,600,-1.2,64,0.201362366
2011,12,8,700,-1.2,71,0.162208572
2011,12,8,800,-1.8,68.4,0.16908707
2011,12,8,900,-2.8,85,0.074508395
2011,12,8,1000,-3.4,87,0.061735827
2011,12,8,1100,-3.5,86,0.065987055
2011,12,8,1200,-3.5,87,0.061273694
2011,12,8,1300,-4.4,82.4,0.077508025
2011,12,8,1400,-4.2,83,0.076007719
2011,12,8,1500,-4.1,82,0.081089456
2011,12,8,1600,-3.7,68,0.148575012
2011,12,8,1700,-3.8,64,0.165892436
2011,12,8,1800,-3.2,62.1,0.18270527
2011,12,8,1900,-3.3,69,0.148325561
2011,12,8,2000,-3.3,79.2,0.099521666
2011,12,8,2100,-3.1,79.7,0.09859676
2011,12,8,2200,-3.2,77.6,0.107984117
2011,12,8,2300,-2.8,78.9,0.104808475
2011,12,9,0,-1.6,69,0.168350164
2011,12,9,100,-1,63.8,0.205484871
2011,12,9,200,-1.2,61.3,0.216464543
2011,12,9,300,-0.8,62.2,0.217744702
2011,12,9,400,-0.8,64,0.207375907
2011,12,9,500,-1,66,0.19299684
2011,12,9,600,-1.2,66.6,0.186819528
2011,12,9,700,-1.7,68,0.172499938
2011,12,9,800,-1.5,59,0.22430855
2011,12,9,900,-1.3,59,0.227644835
2011,12,9,1000,-2.1,66,0.17792569
2011,12,9,1100,-1.7,60.3,0.214007736
2011,12,9,1200,-3.3,81,0.090909215
2011,12,9,1300,-3.3,70,0.143540865
2011,12,9,1400,-5.1,82,0.075163049
2011,12,9,1500,-5.1,78,0.091865948
2011,12,9,1600,-4.9,73.6,0.11193111
2011,12,9,1700,-5.6,78,0.088423238
2011,12,9,1800,-6.1,83,0.065755453
2011,12,9,1900,-4.7,73.5,0.11407651
2011,12,9,2000,-3.5,67,0.155540916
2011,12,9,2100,-3.2,71.2,0.138836722
2011,12,9,2200,-2.6,75,0.126048637
2011,12,9,2300,-2.4,73.3,0.136641434
2011,12,10,0,-2.2,74.6,0.131937033
2011,12,10,100,-1,63.4,0.207755422
2011,12,10,200,-1.4,78.6,0.117945971
2011,12,10,300,-0.7,66,0.197298086
2011,12,10,400,-1.4,77,0.126764361
2011,12,10,500,-1.6,80.2,0.107526879
2011,12,10,600,-1.2,78,0.123054779
2011,12,10,700,-1.5,79.4,0.112701369
2011,12,10,800,-1.7,81,0.102421838
2011,12,10,900,-2,80,0.105442017
2011,12,10,1000,-2.4,79,0.107470791
2011,12,10,1100,-3,84,0.078295808
2011,12,10,1200,-3.3,84.7,0.073205841
2011,12,10,1300,-4.9,92,0.033918518
2011,12,10,1400,-5.7,95,0.019942858
2011,12,10,1500,-5,90,0.042076618
2011,12,10,1600,-4.8,89,0.046994036
2011,12,10,1700,-4.8,88.1,0.050839002
2011,12,10,1800,-4.8,86,0.059810591
2011,12,10,1900,-4.8,86,0.059810591
2011,12,10,2000,-5.1,87,0.054284424
2011,12,10,2100,-4.5,88,0.052447352
2011,12,10,2200,-5.2,91.5,0.035224024
2011,12,10,2300,-5.3,91.2,0.036189951
2011,12,11,0,-5,89.5,0.044180449
2011,12,11,100,-4.9,85.2,0.062749259
2011,12,11,200,-4.7,87,0.055962062
2011,12,11,300,-4.3,83.4,0.073659864
2011,12,11,400,-4.5,85,0.065559191
2011,12,11,500,-4.2,83.5,0.073772198
2011,12,11,600,-4.6,86.3,0.059424884
2011,12,11,700,-5,87,0.054699603
2011,12,11,800,-4.6,83,0.073738907
2011,12,11,900,-4.4,81,0.083673437
2011,12,11,1000,-4.3,83,0.0754348
2011,12,11,1100,-4.6,82,0.07807649
2011,12,11,1200,-4.8,82,0.076899331
2011,12,11,1300,-4.8,85,0.064082776
2011,12,11,1400,-5,86,0.058907265
2011,12,11,1500,-4.8,84,0.068354961
2011,12,11,1600,-5.2,86.4,0.056358439
2011,12,11,1700,-5.2,86,0.05801604
2011,12,11,1800,-5.2,85,0.062160043
2011,12,11,1900,-5.1,83,0.070987324
2011,12,11,2000,-4.7,81,0.081790706
2011,12,11,2100,-4.4,79,0.092481167
2011,12,11,2200,-4,80,0.090782497
2011,12,11,2300,-3.5,77.5,0.106050624
2011,12,12,0,-3.4,77.1,0.108750035
2011,12,12,100,-3,73,0.132124177
2011,12,12,200,-3.2,74.1,0.124856636
2011,12,12,300,-3,69.4,0.149740734
2011,12,12,400,-2.5,69,0.157469968
2011,12,12,500,-2.4,69.6,0.155576764
2011,12,12,600,-2,73,0.142346723
2011,12,12,700,-2.4,74,0.133059075
2011,12,12,800,-2.3,74,0.134053085
2011,12,12,900,-1.9,72.7,0.144999847
2011,12,12,1000,-2.4,75.1,0.127429652
2011,12,12,1100,-3.3,81,0.090909215
2011,12,12,1200,-3.1,80,0.097139665
2011,12,12,1300,-3.3,79,0.100478606
2011,12,12,1400,-3.3,78.8,0.101435545
2011,12,12,1500,-3.1,81,0.092282682
2011,12,12,1600,-3.6,84,0.074848768
2011,12,12,1700,-3.6,82,0.084204863
2011,12,12,1800,-3.1,76,0.116567598
2011,12,12,1900,-3.3,81,0.090909215
2011,12,12,2000,-3.4,81.9,0.085955268
2011,12,12,2100,-3.2,81.5,0.089183311
2011,12,12,2200,-3.3,84.9,0.072248902
2011,12,12,2300,-2.5,64,0.182868349
2011,12,13,0,-1.8,64,0.192630839
2011,12,13,100,-1.8,65.7,0.183534383
2011,12,13,200,-1.8,62.9,0.198516782
2011,12,13,300,-0.7,60,0.232115395
2011,12,13,400,-2.4,69.6,0.155576764
2011,12,13,500,-2.3,69,0.159832525
2011,12,13,600,-2.1,63.6,0.19048515
2011,12,13,700,-2.2,63,0.19219174
2011,12,13,800,-2.1,64.2,0.187345285
2011,12,13,900,-1.6,52.7,0.256869766
2011,12,13,1000,-1.9,55,0.239010738
2011,12,13,1100,-1.9,60,0.212453989
2011,12,13,1200,-2.7,60,0.200178503
2011,12,13,1300,-2.8,69,0.153984015
2011,12,13,1400,-2.5,63,0.187948026
2011,12,13,1500,-3,74,0.127230689
2011,12,13,1600,-2.9,71,0.142976822
2011,12,13,1700,-2.9,78,0.108465176
2011,12,13,1800,-2.7,73,0.13512049
2011,12,13,1900,-2.4,70.4,0.151482639
2011,12,13,2000,-2.2,67.6,0.168297632
2011,12,13,2100,-2.9,79,0.10353494
2011,12,13,2200,-2.5,79,0.106673204
2011,12,13,2300,-2.7,75,0.125111564
2011,12,14,0,-1.2,69,0.17339537
2011,12,14,100,-1.1,70,0.169042602
2011,12,14,200,-0.9,68.2,0.181841091
2011,12,14,300,-1.7,72,0.150937446
2011,12,14,400,-1.1,70,0.169042602
2011,12,14,500,-1.7,70.6,0.158484318
2011,12,14,600,-1.6,75,0.135766261
2011,12,14,700,-1.5,69.1,0.169052054
2011,12,14,800,-2,77,0.121258319
2011,12,14,900,-2.2,81,0.098693056
2011,12,14,1000,-2.3,82,0.092805982
2011,12,14,1100,-2.2,81,0.098693056
2011,12,14,1200,-2.7,78.2,0.109097284
2011,12,14,1300,-3.2,81,0.091593671
2011,12,14,1400,-4.2,85,0.067065635
2011,12,14,1500,-5,87,0.054699603
2011,12,14,1600,-5.1,86,0.058460149
2011,12,14,1700,-5.1,85.7,0.059712866
2011,12,14,1800,-5.4,89.2,0.044076941
2011,12,14,1900,-4.8,79.6,0.087152575
2011,12,14,2000,-3.9,78,0.100617196
2011,12,14,2100,-3.2,80,0.096414391
2011,12,14,2200,-2.7,85,0.075066939
2011,12,14,2300,-2.9,80,0.098604705
2011,12,15,0,-2.2,79.5,0.106484613
2011,12,15,100,-0.7,74.2,0.14971443
2011,12,15,200,-1,73,0.153262197
2011,12,15,300,-0.7,73,0.156677892
2011,12,15,400,-0.9,73,0.154393379
2011,12,15,500,-0.8,64.1,0.206799863
2011,12,15,600,-1.2,68,0.178988769
2011,12,15,700,-1.4,63,0.203925277
2011,12,15,800,-1.4,59,0.225971252
2011,12,15,900,-1.4,60,0.220459758
2011,12,15,1000,-1.7,70.7,0.157945256
2011,12,15,1100,-1.9,73.6,0.140219633
2011,12,15,1200,-1.7,66,0.183281184
2011,12,15,1300,-2,62,0.200339832
2011,12,15,1400,-2.3,61,0.201079628
2011,12,15,1500,-2.9,57,0.212000116
2011,12,15,1600,-2.8,58.6,0.205643169
2011,12,15,1700,-3.6,64.9,0.164199484
2011,12,15,1800,-3.2,57,0.20729094
2011,12,15,1900,-2.9,65,0.172558234
2011,12,15,2000,-2.2,57,0.223357969
2011,12,15,2100,-1.3,55.7,0.245967469
2011,12,15,2200,-1.8,71.2,0.154104672
2011,12,15,2300,-1,61,0.221378729
2011,12,16,0,-0.1,64,0.218282132
2011,12,16,100,0.1, ,#VALUE!
2011,12,16,200,0.1,63,0.227642291
2011,12,16,300,0.1,61.9,0.234410034
2011,12,16,400,-0.1,64.7,0.214037758
2011,12,16,500,,67.3,0.19972506
2011,12,16,600,-0.6,61,0.22797855
2011,12,16,700,-1,64,0.204349596
2011,12,16,800,-1.2,65.2,0.194650287
2011,12,16,900,-1.7,70,0.161718692
2011,12,16,1000,-1.8,74,0.139122273
2011,12,16,1100,-1.9,75,0.132783743
2011,12,16,1200,-2,79,0.110714118
2011,12,16,1300,-2.1,76.7,0.121931429
2011,12,16,1400,-2.1,76,0.125594605
2011,12,16,1500,-2.1,71.4,0.149666904
2011,12,16,1600,-2.2,80,0.103887427
2011,12,16,1700,-2.3,81,0.09796187
2011,12,16,1800,-2.1,73.9,0.136584133
2011,12,16,1900,-2.1,63,0.193625016
2011,12,16,2000,-2.2,76.9,0.119989979
2011,12,16,2100,-2.7,82,0.090080326
2011,12,16,2200,-2.6,85.3,0.074116598
2011,12,16,2300,-3.1,92.8,0.034970279
2011,12,17,0,-3.4,93,0.033242369
2011,12,17,100,-2.7,87.2,0.064057121
2011,12,17,200,-2.2,85,0.07791557
2011,12,17,300,-1.1,70.6,0.16566175
2011,12,17,400,-1.3,62.4,0.208766971
2011,12,17,500,-1.1,60,0.225390136
2011,12,17,600,-1,64,0.204349596
2011,12,17,700,-2,63,0.195067731
2011,12,17,800,-2.3,71.4,0.147458394
2011,12,17,900,-1.9,71.9,0.149248927
2011,12,17,1000,-2,68,0.168707227
2011,12,17,1100,-2.7,80,0.100089252
2011,12,17,1200,-1.8,63,0.197981696
2011,12,17,1300,-2.5,70.4,0.150358421
2011,12,17,1400,-2.8,72.2,0.138088891
2011,12,17,1500,-2.7,74,0.130116027
2011,12,17,1600,-2.6,75,0.126048637
2011,12,17,1700,-1.4,56,0.242505734
2011,12,17,1800,-3.2,86.9,0.063151426
2011,12,17,1900,-2.4,75,0.127941418
2011,12,17,2000,-1.9,66.7,0.176867946
2011,12,17,2100,-0.4,57.9,0.249731976
2011,12,17,2200,-0.9,48,0.297350212
2011,12,17,2300,-1.7,58.2,0.225328044
2011,12,18,0,-0.6,53,0.274743381
2011,12,18,100,-0.9,59.4,0.232161896
2011,12,18,200,-0.7,58.4,0.241400011
2011,12,18,300,-1.2,54.7,0.253380977
2011,12,18,400,-0.6,54,0.268897777
2011,12,18,500,-1.4,53,0.259040216
2011,12,18,600,-0.7,42.1,0.335987034
2011,12,18,700,-1,41.9,0.329797542
2011,12,18,800,-1.5,41.3,0.321144193
2011,12,18,900,-2.4,44,0.286588776
2011,12,18,1000,-2.6,48,0.262181164
2011,12,18,1100,-2.4,44.7,0.283006416
2011,12,18,1200,-4.3,65,0.155306941
2011,12,18,1300,-4.2,60.2,0.177947484
2011,12,18,1400,-2.5,38,0.314939935
2011,12,18,1500,-2.9,40,0.295814115
2011,12,18,1600,-2.9,41,0.29088388
2011,12,18,1700,-2.9,37,0.310604821
2011,12,18,1800,-2.6,37.8,0.313609008
2011,12,18,1900,-2,32.8,0.354285176
2011,12,18,2000,-1.6,31,0.374714881
2011,12,18,2100,-0.7,28.6,0.41432598
2011,12,18,2200,0,27,0.4458694
2011,12,18,2300,0.6,25.2,0.477248349
2011,12,19,0,0.9,21,0.515125029
2011,12,19,100,-1,43.6,0.3201477
2011,12,19,200,-0.7,50.5,0.287242801
2011,12,19,300,-0.6,55,0.263052173
2011,12,19,400,-0.4,53,0.278798168
2011,12,19,500,-0.8,52.5,0.273620989
2011,12,19,600,-1.6,47,0.287824474
2011,12,19,700,-1.6,49.8,0.272618652
2011,12,19,800,-1.4,52,0.26455171
2011,12,19,900,-1.3,44,0.310929531
2011,12,19,1000,-1.3,53,0.260958714
2011,12,19,1100,-2.6,52,0.242013382
2011,12,19,1200,-2.8,42.8,0.284125345
2011,12,19,1300,-3.4,56,0.208952032
2011,12,19,1400,-5.3,82,0.074024899
2011,12,19,1500,-4.9,64,0.152633332
2011,12,19,1600,-3.6,45.6,0.25448581
2011,12,19,1700,-3.5,55.1,0.211629913
2011,12,19,1800,-4.5,60,0.174824508
2011,12,19,1900,-3.7,58,0.195004703
2011,12,19,2000,-2.9,44,0.276093174
2011,12,19,2100,-2.3,56.4,0.224796713
2011,12,19,2200,-2.1,60,0.209324341
2011,12,19,2300,-2.9,60,0.19720941
2011,12,20,0,-2, ,#VALUE!
2011,12,20,100,-1.2,48.9,0.285822691
2011,12,20,200,-0.9,48,0.297350212
2011,12,20,300,-0.6,52,0.280588985
2011,12,20,400,-0.3,58.5,0.247980432
2011,12,20,500,-1.4,65.1,0.192351139
2011,12,20,600,-1.2,67.5,0.181785469
2011,12,20,700,-1.4,61,0.214948264
2011,12,20,800,-0.9,61,0.223012659
2011,12,20,900,-0.9,54.3,0.26132509
2011,12,20,1000,-2.6,64.5,0.178989064
2011,12,20,1100,-2.6,77,0.115964746
2011,12,20,1200,-3.4,82,0.085480377
2011,12,20,1300,-3.9,79,0.096043687
2011,12,20,1400,-3.5,70.9,0.137158807
2011,12,20,1500,-4.1,69.2,0.138753069
2011,12,20,1600,-5.1,76,0.100217398
2011,12,20,1700,-4.6,83,0.073738907
2011,12,20,1800,-3.7,86,0.065001568
2011,12,20,1900,-3.3,83.1,0.080861354
2011,12,20,2000,-3.1,81,0.092282682
2011,12,20,2100,-2.9,80,0.098604705
2011,12,20,2200,-2.6,79.1,0.10537666
2011,12,20,2300,-2.4,75,0.127941418
2011,12,21,0,-1.7,72,0.150937446
2011,12,21,100,-1.9,75,0.132783743
2011,12,21,200,-1.5,74.8,0.137867694
2011,12,21,300,-1.5,73,0.147715387
2011,12,21,400,-1.5,73.8,0.143338635
2011,12,21,500,-2.1,78,0.115128388
2011,12,21,600,-2.1,77,0.120361496
2011,12,21,700,-2.3,77,0.118585422
2011,12,21,800,-2.3,77,0.118585422
2011,12,21,900,-2.6,75,0.126048637
2011,12,21,1000,-2.7,74,0.130116027
2011,12,21,1100,-2.5,75,0.126991909
2011,12,21,1200,-2.8,77,0.114246205
2011,12,21,1300,-3.4,82,0.085480377
2011,12,21,1400,-2.9,73,0.133116352
2011,12,21,1500,-3.1,76,0.116567598
2011,12,21,1600,-4,82,0.081704248
2011,12,21,1700,-3.7,83,0.078930475
2011,12,21,1800,-3,76,0.117443713
2011,12,21,1900,-3.3,82,0.086124519
2011,12,21,2000,-2.9,79,0.10353494
2011,12,21,2100,-2.4,77,0.117706104
2011,12,21,2200,-2.1,69.9,0.157516567
2011,12,21,2300,-1.6,69,0.168350164
2011,12,22,0,-1.5,69,0.169599148
2011,12,22,100,-0.8,67,0.190094582
2011,12,22,200,-0.1,64.3,0.216463115
2011,12,22,300,-0.8,50.2,0.286870005
2011,12,22,400,-1.3,71.6,0.157685691
2011,12,22,500,-0.7,69,0.179889431
2011,12,22,600,-1.4,66,0.187390795
2011,12,22,700,-1.5,68.9,0.170146242
2011,12,22,800,-1.5,68.9,0.170146242
2011,12,22,900,-0.8,47,0.305303419
2011,12,22,1000,-0.4,47,0.314389424
2011,12,22,1100,-0.2,42,0.349117687
2011,12,22,1200,0.2,36,0.396638539
